freq,product,currency,unit,indic_en,geo\TIME_PERIOD	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,4100,EUR,GJ_GCV,MSIND,IT	8.24 	10.58 	10.53 	9.58 	9.12 	8 	6.88 	7.3072 	8.2732 	7.2576 	6.3074 	19.6360 
A,4100,EUR,GJ_GCV,MSIND,LI	: 	: 	: 	12.6325 	14.1776 	12.098 	10.0577 	9.4743 	10.5164 	11.1037 	9.7335 	21.7392 
A,4100,EUR,GJ_GCV,MSIND,LT	9.7399 	12.4768 	12.2335 	11.4979 	7.79 	7.45 	6.7 	7.9858 	7.7945 	5.1462 	7.2236 	28.9637 
A,4100,EUR,GJ_GCV,MSIND,LU	11.58 	13.99 	14.05 	11.72 	10.71 	9.49 	8.85 	8.7517 	9.1746 	8.3124 	7.6947 	20.4714 
A,4100,EUR,GJ_GCV,MSIND,LV	8.1182 	9.9384 	9.9393 	9.24 	9.16 	6.96 	7.09 	7.9387 	8.2971 	6.8146 	6.0871 	19.4280 
A,4100,EUR,GJ_GCV,MSIND,MD	: 	: 	: 	: 	7.8018 	7.1186 	7.2927 	6.7206 	7.3501 	7.3980 	5.1641 	21.0460 
A,4100,EUR,GJ_GCV,MSIND,MK	10.2488 	12.0244 	10.6339 	10.2127 	9.6187 	6.2787 	7.2189 	7.5093 	8.9718 	6.7857 	6.5666 	25.1788 
A,4100,EUR,GJ_GCV,MSIND,NL	7.52 	8.01 	8.39 	8.12 	7.59 	6.29 	5.89 	6.0849 	6.1856 	5.3364 	5.7612 	14.9381 
A,4100,EUR,GJ_GCV,MSIND,PL	9.11 	9.359 	10.0622 	10.296 	10.238 	7.3637 	7.4212 	8.2532 	9.3669 	7.9949 	7.5342 	20.5441 
A,4100,EUR,GJ_GCV,MSIND,PT	9.38 	11.09 	11.46 	11.63 	11.42 	9.24 	7.52 	7.4048 	8.6291 	7.3083 	6.2999 	18.6612 
A,4100,EUR,GJ_GCV,MSIND,RO	4.2302 	5.2855 	5.7502 	5.9185 	5.7488 	5.3676 	7.1021 e	7.1824 e	8.6020 e	8.1700 e	6.5180 e	23.0398 e
A,4100,EUR,GJ_GCV,MSIND,RS	: 	: 	10.5336 	10.3881 	12.6573 	8.4032 	8.6168 	8.9075 	10.8464 	10.0742 	7.9192 	10.2278 
A,4100,EUR,GJ_GCV,MSIND,SE	11.705 	12.4562 	12.7947 	11.3934 	10.0313 	7.9259 	9.0821 	11.0479 	8.7466 	8.4111 	12.4196 	31.8052 e
A,4100,EUR,GJ_GCV,MSIND,SI	11.19 	14.8 	12.38 	10.64 	8.93 	8.18 	7.19 	7.6043 	8.5024 	6.8561 	7.0634 	17.4890 
A,4100,EUR,GJ_GCV,MSIND,SK	9.22 	10.6 	9.88 	9.91 	9.29 	8.11 	7.4748 	7.6680 	9.1350 	8.1430 	7.2580 	16.1410 
A,4100,EUR,GJ_GCV,MSIND,TR	5.7822 	6.7818 	8.2623 	6.555 	7.5261 	6.6187 	5.0315 	4.7541 	5.7577 	5.6665 	4.2581 	14.5607 
A,4100,EUR,GJ_GCV,MSIND,UA	: 	: 	: 	: 	: 	: 	7.2733 	6.8203 	7.1643 	4.2910 	6.0352 	: 
A,4100,EUR,GJ_GCV,MSIND,UK	6.4724 	8.5986 	9.3555 	9.8504 	9.4236 	7.6422 	6.5778 	6.8814 	7.2799 	6.9937 	: 	: 
